season,week,player_id,player_name,pos,pro_team,actual_points,proj_points,opponent_team_id,is_starter
2025,1,4241389,CeeDee Lamb,WR,DAL,0,18.83,8,True
2025,1,3043078,Derrick Henry,RB,BAL,0,16.05,8,True
2025,1,4361307,Trey McBride,TE,ARI,0,15.02,8,True
2025,1,3918298,Josh Allen,QB,BUF,0,20.94,8,True
2025,1,3054850,Alvin Kamara,RB,NO,0,15.22,8,True
2025,1,3116385,Joe Mixon,RB,HOU,0,13.4,8,True
2025,1,4372016,Jaylen Waddle,WR,MIA,0,12.97,8,True
2025,1,3916433,Jakobi Meyers,WR,LV,0,12.4,8,False
2025,1,2977187,Cooper Kupp,WR,SEA,0,12.48,8,False
2025,1,4361579,Javonte Williams,RB,DAL,0,10.19,8,False
2025,1,4373678,Khalil Shakir,WR,BUF,0,12.46,8,False
2025,1,4428209,Ricky Pearsall,WR,SF,0,11.84,8,False
2025,1,4723086,Colston Loveland,TE,CHI,0,8.74,8,False
2025,1,-16002,Bills D/ST,D/ST,BUF,0,3.09,8,True
2025,1,3124679,Jason Sanders,K,MIA,0,8.12,8,True
2025,1,4429084,Anthony Richardson Sr.,QB,IND,0,18.79,8,False
2025,1,4430807,Bijan Robinson,RB,ATL,0,19.56,9,True
2025,1,4047365,Josh Jacobs,RB,GB,0,15.74,9,True
2025,1,4426502,Drake London,WR,ATL,0,15.96,9,True
2025,1,4432708,Marvin Harrison Jr.,WR,ARI,0,13.93,9,True
2025,1,4427366,Breece Hall,RB,NYJ,0,12.57,9,False
2025,1,4428331,Rashee Rice,WR,KC,0,0.0,9,False
2025,1,4429615,Zay Flowers,WR,BAL,0,14.43,9,True
2025,1,3051876,Evan Engram,TE,DEN,0,9.95,9,True
2025,1,3917315,Kyler Murray,QB,ARI,0,18.33,9,True
2025,1,3886598,Jauan Jennings,WR,SF,0,13.09,9,False
2025,1,4362249,Jayden Reed,WR,GB,0,11.26,9,False
2025,1,4242355,Jake Ferguson,TE,DAL,0,8.92,9,False
2025,1,4567750,Emeka Egbuka,WR,TB,0,13.31,9,False
2025,1,4426385,Zach Charbonnet,RB,SEA,0,7.08,9,False
2025,1,3055899,Harrison Butker,K,KC,0,8.29,9,True
2025,1,-16022,Cardinals D/ST,D/ST,ARI,0,7.69,9,True
2025,1,4429160,De'Von Achane,RB,MIA,0,17.45,1,True
2025,1,4374302,Amon-Ra St. Brown,WR,DET,0,17.37,1,True
2025,1,3916387,Lamar Jackson,QB,BAL,0,21.93,1,True
2025,1,4239993,Tee Higgins,WR,CIN,0,15.37,1,True
2025,1,4430027,Sam LaPorta,TE,DET,0,11.45,1,True
2025,1,4685382,Omarion Hampton,RB,LAC,0,14.99,1,True
2025,1,4685415,Travis Hunter,WR,JAX,0,12.93,1,True
2025,1,4361529,Isiah Pacheco,RB,KC,0,12.88,1,False
2025,1,-16007,Broncos D/ST,D/ST,DEN,0,7.77,1,True
2025,1,-16034,Texans D/ST,D/ST,HOU,0,6.19,1,False
2025,1,4635008,Keon Coleman,WR,BUF,0,10.85,1,False
2025,1,2577417,Dak Prescott,QB,DAL,0,16.5,1,False
2025,1,4689936,Jake Bates,K,DET,0,8.5,1,True
2025,1,4685702,Quinshon Judkins,RB,CLE,0,0.0,1,False
2025,1,4241372,Hollywood Brown,WR,KC,0,12.32,1,False
2025,1,4429275,Trey Benson,RB,ARI,0,7.69,1,False
2025,1,4362628,Ja'Marr Chase,WR,CIN,0,19.67,6,True
2025,1,4567048,Kenneth Walker III,RB,SEA,0,16.64,6,True
2025,1,4430878,Jaxon Smith-Njigba,WR,SEA,0,14.84,6,True
2025,1,3915511,Joe Burrow,QB,CIN,0,19.73,6,True
2025,1,3121422,Terry McLaurin,WR,WSH,0,13.81,6,True
2025,1,3042519,Aaron Jones Sr.,RB,MIN,0,12.67,6,True
2025,1,4431299,Rome Odunze,WR,CHI,0,12.18,6,False
2025,1,3116365,Mark Andrews,TE,BAL,0,10.58,6,True
2025,1,4685472,Tetairoa McMillan,WR,CAR,0,12.57,6,False
2025,1,4569987,Jaylen Warren,RB,PIT,0,11.24,6,False
2025,1,4241985,J.K. Dobbins,RB,DEN,0,10.45,6,False
2025,1,4428557,Tyjae Spears,RB,TEN,0,8.62,6,False
2025,1,4362887,Justin Fields,QB,NYJ,0,15.47,6,False
2025,1,4385690,Dalton Kincaid,TE,BUF,0,8.85,6,False
2025,1,-16016,Vikings D/ST,D/ST,MIN,0,7.0,6,True
2025,1,3050478,Jake Elliott,K,PHI,0,8.5,6,True
2025,1,4595348,Malik Nabers,WR,NYG,0,19.02,5,True
2025,1,4047646,A.J. Brown,WR,PHI,0,16.25,5,True
2025,1,4426348,Jayden Daniels,QB,WSH,0,20.83,5,True
2025,1,3040151,George Kittle,TE,SF,0,12.93,5,True
2025,1,4241463,Jerry Jeudy,WR,CLE,0,14.12,5,True
2025,1,4035538,David Montgomery,RB,DET,0,12.57,5,True
2025,1,4701936,Matthew Golden,WR,GB,0,12.36,5,False
2025,1,4696981,Cam Skattebo,RB,NYG,0,9.61,5,True
2025,1,3046779,Jared Goff,QB,DET,0,15.56,5,False
2025,1,-16021,Eagles D/ST,D/ST,PHI,0,6.07,5,True
2025,1,3953687,Brandon Aubrey,K,DAL,0,8.24,5,True
2025,1,4430034,Xavier Legette,WR,CAR,0,9.16,5,False
2025,1,4372019,Jerome Ford,RB,CLE,0,13.05,5,False
2025,1,16460,Adam Thielen,WR,CAR,0,9.88,5,False
2025,1,5081397,Dylan Sampson,RB,CLE,0,7.65,5,False
2025,1,4688813,Josh Downs,WR,IND,0,9.93,5,False
2025,1,4426515,Puka Nacua,WR,LAR,0,17.28,4,True
2025,1,4432773,Brian Thomas Jr.,WR,JAX,0,16.37,4,True
2025,1,4432665,Brock Bowers,TE,LV,0,14.86,4,True
2025,1,4362238,Chase Brown,RB,CIN,0,17.44,4,True
2025,1,4241416,Chuba Hubbard,RB,CAR,0,15.4,4,True
2025,1,3915416,DJ Moore,WR,CHI,0,13.35,4,True
2025,1,3128429,Courtland Sutton,WR,DEN,0,13.45,4,False
2025,1,4568490,RJ Harvey,RB,DEN,0,12.87,4,False
2025,1,4038941,Justin Herbert,QB,LAC,0,16.83,4,True
2025,1,-16023,Steelers D/ST,D/ST,PIT,0,8.39,4,True
2025,1,4035687,Michael Pittman Jr.,WR,IND,0,11.12,4,False
2025,1,4032473,Rashid Shaheed,WR,NO,0,10.55,4,False
2025,1,4239996,Travis Etienne Jr.,RB,JAX,0,9.79,4,False
2025,1,4362081,Cameron Dicker,K,LAC,0,8.47,4,True
2025,1,4369863,Cedric Tillman,WR,CLE,0,10.17,4,False
2025,1,4431452,Drake Maye,QB,NE,0,17.1,4,False
2025,1,4262921,Justin Jefferson,WR,MIN,0,19.76,3,True
2025,1,4242335,Jonathan Taylor,RB,IND,0,18.0,3,True
2025,1,4612826,Ladd McConkey,WR,LAC,0,15.16,3,True
2025,1,3045147,James Conner,RB,ARI,0,15.37,3,True
2025,1,4683062,Xavier Worthy,WR,KC,0,17.15,3,True
2025,1,15847,Travis Kelce,TE,KC,0,11.87,3,True
2025,1,4819231,Kaleb Johnson,RB,PIT,0,12.55,3,False
2025,1,4426338,Bo Nix,QB,DEN,0,18.58,3,True
2025,1,4426388,Jameson Williams,WR,DET,0,13.05,3,False
2025,1,4360516,Tyrone Tracy Jr.,RB,NYG,0,12.22,3,False
2025,1,4241474,Brian Robinson Jr.,RB,WSH,0,11.66,3,False
2025,1,4040655,Darnell Mooney,WR,ATL,0,10.21,3,False
2025,1,4433970,J.J. McCarthy,QB,MIN,0,16.23,3,False
2025,1,3121023,Dallas Goedert,TE,PHI,0,9.24,3,False
2025,1,3150744,Chase McLaughlin,K,TB,0,8.71,3,True
2025,1,-16008,Lions D/ST,D/ST,DET,0,5.89,3,True
2025,1,3929630,Saquon Barkley,RB,PHI,0,20.01,10,True
2025,1,4596448,Bucky Irving,RB,TB,0,17.23,10,True
2025,1,3116406,Tyreek Hill,WR,MIA,0,15.11,10,True
2025,1,4040715,Jalen Hurts,QB,PHI,0,22.44,10,True
2025,1,16737,Mike Evans,WR,TB,0,15.25,10,True
2025,1,4259545,D'Andre Swift,RB,CHI,0,12.56,10,False
2025,1,4426354,George Pickens,WR,DAL,0,13.11,10,True
2025,1,3916148,Tony Pollard,RB,TEN,0,11.32,10,False
2025,1,4429205,Jordan Addison,WR,MIN,0,0.0,10,False
2025,1,4572680,Tucker Kraft,TE,GB,0,9.45,10,True
2025,1,4429013,Tank Bigsby,RB,JAX,0,9.58,10,False
2025,1,4360248,Kyle Pitts Sr.,TE,ATL,0,8.5,10,False
2025,1,4697815,Rachaad White,RB,TB,0,7.92,10,False
2025,1,-16025,49ers D/ST,D/ST,SF,0,6.04,10,True
2025,1,4697745,Tyler Loop,K,BAL,0,8.22,10,True
2025,1,4686612,Tre Harris,WR,LAC,0,6.42,10,False
2025,1,4429795,Jahmyr Gibbs,RB,DET,0,18.72,7,True
2025,1,4890973,Ashton Jeanty,RB,LV,0,16.61,7,True
2025,1,16800,Davante Adams,WR,LAR,0,14.35,7,True
2025,1,4379399,James Cook,RB,BUF,0,14.68,7,True
2025,1,4047650,DK Metcalf,WR,PIT,0,13.56,7,True
2025,1,3052587,Baker Mayfield,QB,TB,0,19.14,7,True
2025,1,4241478,DeVonta Smith,WR,PHI,0,13.15,7,False
2025,1,3123076,David Njoku,TE,CLE,0,10.77,7,True
2025,1,4361370,Chris Olave,WR,NO,0,11.79,7,False
2025,1,4361741,Brock Purdy,QB,SF,0,16.83,7,False
2025,1,4569173,Rhamondre Stevenson,RB,NE,0,11.66,7,False
2025,1,4431611,Caleb Williams,QB,CHI,0,15.37,7,False
2025,1,4877706,Jayden Higgins,WR,HOU,0,9.94,7,False
2025,1,4036378,Jordan Love,QB,GB,0,14.86,7,False
2025,1,-16033,Ravens D/ST,D/ST,BAL,0,3.81,7,True
2025,1,3917232,Tyler Bass,K,BUF,0,8.17,7,True
2025,1,3117251,Christian McCaffrey,RB,SF,0,17.93,2,True
2025,1,4258173,Nico Collins,WR,HOU,0,16.64,2,True
2025,1,4430737,Kyren Williams,RB,LAR,0,15.02,2,True
2025,1,4569618,Garrett Wilson,WR,NYJ,0,13.12,2,True
2025,1,3139477,Patrick Mahomes,QB,KC,0,19.93,2,True
2025,1,4036133,T.J. Hockenson,TE,MIN,0,11.4,2,True
2025,1,4432710,TreVeyon Henderson,RB,NE,0,13.77,2,True
2025,1,3925357,Calvin Ridley,WR,TEN,0,13.08,2,False
2025,1,2976212,Stefon Diggs,WR,NE,0,11.95,2,False
2025,1,3116165,Chris Godwin,WR,TB,0,0.0,2,False
2025,1,3126486,Deebo Samuel,WR,WSH,0,11.32,2,False
2025,1,3068267,Austin Ekeler,RB,WSH,0,9.42,2,False
2025,1,4360569,Jordan Mason,RB,MIN,0,6.97,2,False
2025,1,4431459,Tyler Warren,TE,IND,0,8.77,2,False
2025,1,-16017,Patriots D/ST,D/ST,NE,0,7.12,2,True
2025,1,17372,Chris Boswell,K,PIT,0,8.02,2,True
